leaf,kernel,mode,radius,L,count,total,key
328544,sphere,spherical,2.000000,0.115028,53,53,0
328545,sphere,spherical,2.000000,0.115028,5,5,0
328528,sphere,spherical,2.000000,0.230057,57,57,0
328529,sphere,spherical,2.000000,0.230057,0,0,0
328530,sphere,spherical,2.000000,0.230057,0,0,0
328531,sphere,spherical,2.000000,0.230057,89,89,0
328526,sphere,spherical,2.000000,0.460113,8,29,0
328524,sphere,spherical,2.000000,0.230057,23,45,0
328525,sphere,spherical,2.000000,0.230057,1,1,0
328516,sphere,spherical,2.000000,0.115028,52,52,0
328519,sphere,spherical,2.000000,0.115028,42,42,0
328520,sphere,spherical,2.000000,0.115028,18,18,0
328523,sphere,spherical,2.000000,0.115028,2,2,0
328512,sphere,spherical,2.000000,0.115028,0,0,0
328513,sphere,spherical,2.000000,0.115028,0,0,0
328514,sphere,spherical,2.000000,0.115028,10,10,0
328515,sphere,spherical,2.000000,0.115028,23,23,0
328485,sphere,spherical,2.000000,0.230057,8,8,0
328486,sphere,spherical,2.000000,0.230057,43,43,0
328495,sphere,spherical,2.000000,0.230057,102,102,0
328487,sphere,spherical,2.000000,0.115028,25,25,0
328490,sphere,spherical,2.000000,0.115028,41,41,0
328491,sphere,spherical,2.000000,0.115028,57,57,0
328494,sphere,spherical,2.000000,0.115028,56,56,0
328440,sphere,spherical,2.000000,0.460113,0,0,0
328443,sphere,spherical,2.000000,0.460113,0,0,0
328444,sphere,spherical,2.000000,0.460113,21,21,0
328445,sphere,spherical,2.000000,0.460113,103,103,0
328454,sphere,spherical,2.000000,0.460113,62,62,0
328446,sphere,spherical,2.000000,0.230057,1,1,0
328449,sphere,spherical,2.000000,0.230057,71,71,0
328450,sphere,spherical,2.000000,0.230057,102,102,0
328452,sphere,spherical,2.000000,0.230057,16,16,0
328453,sphere,spherical,2.000000,0.230057,44,44,0
326640,sphere,spherical,2.000000,0.460113,0,0,0
326636,sphere,spherical,2.000000,0.460113,0,0,0
326637,sphere,spherical,2.000000,0.460113,0,0,0
326638,sphere,spherical,2.000000,0.460113,0,0,0
326639,sphere,spherical,2.000000,0.460113,0,0,0
305313,sphere,spherical,2.000000,3.680906,0,22,0
305314,sphere,spherical,2.000000,3.680906,0,0,0
305315,sphere,spherical,2.000000,3.680906,0,48,0
305322,sphere,spherical,2.000000,0.920227,0,0,0
304614,sphere,spherical,2.000000,0.920227,0,0,0
304615,sphere,spherical,2.000000,0.920227,0,0,0
304074,sphere,spherical,2.000000,0.460113,0,0,0
304259,sphere,spherical,2.000000,0.460113,0,0,0
304188,sphere,spherical,2.000000,0.230057,0,0,0
304240,sphere,spherical,2.000000,0.230057,0,0,0
304258,sphere,spherical,2.000000,0.230057,0,0,0
304255,sphere,spherical,2.000000,0.115028,36,110,0
304256,sphere,spherical,2.000000,0.115028,0,0,0
304204,sphere,spherical,2.000000,0.115028,0,0,0
304215,sphere,spherical,2.000000,0.057514,16,35,0
304216,sphere,spherical,2.000000,0.057514,1,1,0
304190,sphere,spherical,2.000000,0.115028,0,0,0
304191,sphere,spherical,2.000000,0.115028,113,113,0
304201,sphere,spherical,2.000000,0.115028,28,125,0
304202,sphere,spherical,2.000000,0.115028,0,0,0
304203,sphere,spherical,2.000000,0.115028,0,0,0
304197,sphere,spherical,2.000000,0.057514,0,0,0
304198,sphere,spherical,2.000000,0.057514,2,2,0
304199,sphere,spherical,2.000000,0.057514,38,38,0
304200,sphere,spherical,2.000000,0.057514,40,40,0
304127,sphere,spherical,2.000000,0.230057,0,0,0
304128,sphere,spherical,2.000000,0.230057,0,0,0
304130,sphere,spherical,2.000000,0.115028,0,0,0
304163,sphere,spherical,2.000000,0.115028,1,1,0
304164,sphere,spherical,2.000000,0.115028,0,0,0
304156,sphere,spherical,2.000000,0.057514,26,26,0
304157,sphere,spherical,2.000000,0.057514,27,27,0
304160,sphere,spherical,2.000000,0.057514,14,14,0
304161,sphere,spherical,2.000000,0.057514,10,10,0
304147,sphere,spherical,2.000000,0.057514,21,30,0
304148,sphere,spherical,2.000000,0.057514,9,34,0
304149,sphere,spherical,2.000000,0.057514,1,2,0
304150,sphere,spherical,2.000000,0.057514,6,10,0
304152,sphere,spherical,2.000000,0.057514,3,3,0
304153,sphere,spherical,2.000000,0.057514,33,33,0
304133,sphere,spherical,2.000000,0.057514,3,9,0
304136,sphere,spherical,2.000000,0.057514,10,27,0
304116,sphere,spherical,2.000000,0.115028,57,120,0
304125,sphere,spherical,2.000000,0.115028,0,0,0
304126,sphere,spherical,2.000000,0.115028,0,0,0
304118,sphere,spherical,2.000000,0.057514,25,25,0
304119,sphere,spherical,2.000000,0.057514,21,35,0
304122,sphere,spherical,2.000000,0.057514,4,6,0
304123,sphere,spherical,2.000000,0.057514,8,8,0
303877,sphere,spherical,2.000000,0.460113,0,0,0
303943,sphere,spherical,2.000000,0.460113,0,0,0
303917,sphere,spherical,2.000000,0.230057,0,0,0
303918,sphere,spherical,2.000000,0.230057,0,0,0
303919,sphere,spherical,2.000000,0.115028,0,0,0
303920,sphere,spherical,2.000000,0.115028,0,8,0
303921,sphere,spherical,2.000000,0.115028,55,101,0
303922,sphere,spherical,2.000000,0.115028,52,111,0
303913,sphere,spherical,2.000000,0.115028,16,40,0
303914,sphere,spherical,2.000000,0.115028,40,74,0
303915,sphere,spherical,2.000000,0.115028,14,33,0
303916,sphere,spherical,2.000000,0.115028,24,54,0
303878,sphere,spherical,2.000000,0.230057,0,0,0
303887,sphere,spherical,2.000000,0.230057,16,16,0
303888,sphere,spherical,2.000000,0.230057,0,0,0
303889,sphere,spherical,2.000000,0.230057,0,0,0
303890,sphere,spherical,2.000000,0.230057,16,65,0
303883,sphere,spherical,2.000000,0.115028,13,14,0
303884,sphere,spherical,2.000000,0.115028,33,33,0
303885,sphere,spherical,2.000000,0.115028,16,16,0
303886,sphere,spherical,2.000000,0.115028,11,19,0
303786,sphere,spherical,2.000000,0.230057,11,11,0
303789,sphere,spherical,2.000000,0.230057,16,16,0
303790,sphere,spherical,2.000000,0.230057,0,0,0
303791,sphere,spherical,2.000000,0.230057,33,39,0
303792,sphere,spherical,2.000000,0.230057,14,19,0
303793,sphere,spherical,2.000000,0.230057,0,0,0
303780,sphere,spherical,2.000000,0.230057,7,10,0
303781,sphere,spherical,2.000000,0.230057,12,14,0
303782,sphere,spherical,2.000000,0.230057,0,0,0
303783,sphere,spherical,2.000000,0.230057,0,0,0
303784,sphere,spherical,2.000000,0.230057,6,6,0
303785,sphere,spherical,2.000000,0.230057,19,19,0
303765,sphere,spherical,2.000000,0.230057,2,2,0
303766,sphere,spherical,2.000000,0.230057,0,0,0
303775,sphere,spherical,2.000000,0.230057,103,103,0
303767,sphere,spherical,2.000000,0.115028,0,0,0
303768,sphere,spherical,2.000000,0.115028,0,13,0
303773,sphere,spherical,2.000000,0.115028,15,18,0
303774,sphere,spherical,2.000000,0.115028,8,18,0
303741,sphere,spherical,2.000000,0.230057,0,0,0
303758,sphere,spherical,2.000000,0.230057,0,0,0
303750,sphere,spherical,2.000000,0.115028,0,21,0
303753,sphere,spherical,2.000000,0.115028,16,25,0
303754,sphere,spherical,2.000000,0.115028,12,14,0
303757,sphere,spherical,2.000000,0.115028,0,26,0
303742,sphere,spherical,2.000000,0.115028,0,19,0
303745,sphere,spherical,2.000000,0.115028,31,36,0
303746,sphere,spherical,2.000000,0.115028,23,30,0
303749,sphere,spherical,2.000000,0.115028,0,21,0
303635,sphere,spherical,2.000000,0.460113,0,0,0
303715,sphere,spherical,2.000000,0.460113,0,0,0
303709,sphere,spherical,2.000000,0.230057,15,28,0
303710,sphere,spherical,2.000000,0.230057,0,0,0
303711,sphere,spherical,2.000000,0.230057,0,0,0
303712,sphere,spherical,2.000000,0.230057,34,34,0
303636,sphere,spherical,2.000000,0.230057,0,0,0
303682,sphere,spherical,2.000000,0.230057,0,0,0
303699,sphere,spherical,2.000000,0.230057,0,0,0
303691,sphere,spherical,2.000000,0.115028,0,0,0
303692,sphere,spherical,2.000000,0.115028,0,0,0
303693,sphere,spherical,2.000000,0.115028,32,79,0
303694,sphere,spherical,2.000000,0.115028,26,26,0
303696,sphere,spherical,2.000000,0.115028,96,96,0
303697,sphere,spherical,2.000000,0.115028,0,0,0
303687,sphere,spherical,2.000000,0.115028,8,20,0
303690,sphere,spherical,2.000000,0.115028,0,0,0
303638,sphere,spherical,2.000000,0.115028,0,0,0
303639,sphere,spherical,2.000000,0.057514,0,0,0
303641,sphere,spherical,2.000000,0.057514,0,0,0
303642,sphere,spherical,2.000000,0.057514,0,0,0
303643,sphere,spherical,2.000000,0.057514,30,30,0
303644,sphere,spherical,2.000000,0.057514,7,36,0
303646,sphere,spherical,2.000000,0.057514,9,34,0
303443,sphere,spherical,2.000000,0.460113,0,0,0
303444,sphere,spherical,2.000000,0.460113,0,0,0
303445,sphere,spherical,2.000000,0.460113,0,0,0
303446,sphere,spherical,2.000000,0.460113,0,0,0
303351,sphere,spherical,2.000000,0.230057,0,0,0
303368,sphere,spherical,2.000000,0.230057,0,0,0
303360,sphere,spherical,2.000000,0.115028,0,25,0
303362,sphere,spherical,2.000000,0.115028,25,25,0
303363,sphere,spherical,2.000000,0.115028,22,22,0
303364,sphere,spherical,2.000000,0.115028,34,34,0
303365,sphere,spherical,2.000000,0.115028,17,17,0
303367,sphere,spherical,2.000000,0.115028,0,24,0
303352,sphere,spherical,2.000000,0.115028,0,24,0
303354,sphere,spherical,2.000000,0.115028,47,47,0
303355,sphere,spherical,2.000000,0.115028,21,23,0
303356,sphere,spherical,2.000000,0.115028,24,24,0
303357,sphere,spherical,2.000000,0.115028,45,45,0
303359,sphere,spherical,2.000000,0.115028,0,22,0
303343,sphere,spherical,2.000000,0.230057,0,0,0
303344,sphere,spherical,2.000000,0.230057,0,0,0
303336,sphere,spherical,2.000000,0.115028,28,32,0
303337,sphere,spherical,2.000000,0.115028,54,54,0
303338,sphere,spherical,2.000000,0.115028,52,52,0
303339,sphere,spherical,2.000000,0.115028,0,0,0
303340,sphere,spherical,2.000000,0.115028,0,0,0
303341,sphere,spherical,2.000000,0.115028,0,29,0
303342,sphere,spherical,2.000000,0.115028,0,35,0
303327,sphere,spherical,2.000000,0.115028,42,42,0
303328,sphere,spherical,2.000000,0.115028,0,0,0
303329,sphere,spherical,2.000000,0.115028,0,0,0
303330,sphere,spherical,2.000000,0.115028,37,37,0
303333,sphere,spherical,2.000000,0.115028,0,26,0
303317,sphere,spherical,2.000000,0.230057,55,55,0
303318,sphere,spherical,2.000000,0.230057,42,42,0
303320,sphere,spherical,2.000000,0.230057,1,1,0
303321,sphere,spherical,2.000000,0.230057,36,36,0
303322,sphere,spherical,2.000000,0.230057,76,76,0
303323,sphere,spherical,2.000000,0.230057,96,96,0
303324,sphere,spherical,2.000000,0.230057,92,92,0
303302,sphere,spherical,2.000000,0.230057,0,0,0
303303,sphere,spherical,2.000000,0.230057,16,16,0
303304,sphere,spherical,2.000000,0.230057,40,43,0
303305,sphere,spherical,2.000000,0.230057,0,0,0
303306,sphere,spherical,2.000000,0.230057,31,31,0
303316,sphere,spherical,2.000000,0.230057,53,53,0
291587,sphere,spherical,2.000000,0.920227,0,0,0
291588,sphere,spherical,2.000000,0.920227,0,0,0
291589,sphere,spherical,2.000000,0.920227,0,0,0
291590,sphere,spherical,2.000000,0.920227,0,0,0
292294,sphere,spherical,2.000000,0.460113,0,0,0
292297,sphere,spherical,2.000000,0.460113,0,0,0
292300,sphere,spherical,2.000000,0.230057,0,0,0
292301,sphere,spherical,2.000000,0.230057,0,0,0
292310,sphere,spherical,2.000000,0.115028,18,38,0
292311,sphere,spherical,2.000000,0.115028,0,0,0
292312,sphere,spherical,2.000000,0.115028,0,0,0
292313,sphere,spherical,2.000000,0.115028,36,36,0
292302,sphere,spherical,2.000000,0.115028,0,0,0
292309,sphere,spherical,2.000000,0.115028,9,36,0
292281,sphere,spherical,2.000000,0.230057,0,65,0
292290,sphere,spherical,2.000000,0.230057,0,0,0
292291,sphere,spherical,2.000000,0.230057,0,0,0
292284,sphere,spherical,2.000000,0.115028,49,107,0
292285,sphere,spherical,2.000000,0.115028,30,87,0
292286,sphere,spherical,2.000000,0.115028,0,0,0
292287,sphere,spherical,2.000000,0.115028,0,0,0
291592,sphere,spherical,2.000000,0.460113,0,0,0
291907,sphere,spherical,2.000000,0.230057,0,0,0
291924,sphere,spherical,2.000000,0.230057,0,0,0
291916,sphere,spherical,2.000000,0.115028,0,0,0
291917,sphere,spherical,2.000000,0.115028,56,56,0
291920,sphere,spherical,2.000000,0.115028,0,0,0
291921,sphere,spherical,2.000000,0.115028,32,84,0
291922,sphere,spherical,2.000000,0.115028,59,59,0
291923,sphere,spherical,2.000000,0.115028,0,0,0
291908,sphere,spherical,2.000000,0.115028,0,0,0
291909,sphere,spherical,2.000000,0.115028,1,83,0
291914,sphere,spherical,2.000000,0.115028,69,69,0
291915,sphere,spherical,2.000000,0.115028,0,0,0
291583,sphere,spherical,2.000000,0.460113,0,0,0
291584,sphere,spherical,2.000000,0.460113,0,0,0
291585,sphere,spherical,2.000000,0.460113,0,0,0
291581,sphere,spherical,2.000000,0.230057,0,0,0
291582,sphere,spherical,2.000000,0.230057,0,0,0
291555,sphere,spherical,2.000000,0.115028,36,125,0
291556,sphere,spherical,2.000000,0.115028,0,0,0
291557,sphere,spherical,2.000000,0.115028,0,0,0
291558,sphere,spherical,2.000000,0.115028,28,114,0
291559,sphere,spherical,2.000000,0.115028,111,111,0
291560,sphere,spherical,2.000000,0.115028,0,0,0
291547,sphere,spherical,2.000000,0.115028,96,96,0
291548,sphere,spherical,2.000000,0.115028,0,0,0
291553,sphere,spherical,2.000000,0.115028,0,0,0
291554,sphere,spherical,2.000000,0.115028,122,122,0
291534,sphere,spherical,2.000000,0.230057,0,0,0
291535,sphere,spherical,2.000000,0.230057,104,104,0
291544,sphere,spherical,2.000000,0.230057,0,0,0
291545,sphere,spherical,2.000000,0.230057,0,0,0
291546,sphere,spherical,2.000000,0.230057,98,98,0
291538,sphere,spherical,2.000000,0.115028,0,47,0
291539,sphere,spherical,2.000000,0.115028,0,0,0
291522,sphere,spherical,2.000000,0.230057,0,0,0
291520,sphere,spherical,2.000000,0.115028,61,61,0
291521,sphere,spherical,2.000000,0.115028,0,0,0
291398,sphere,spherical,2.000000,0.460113,0,0,0
291394,sphere,spherical,2.000000,0.230057,0,0,0
291386,sphere,spherical,2.000000,0.115028,31,31,0
291387,sphere,spherical,2.000000,0.115028,8,32,0
291388,sphere,spherical,2.000000,0.115028,42,42,0
291391,sphere,spherical,2.000000,0.115028,0,0,0
291392,sphere,spherical,2.000000,0.115028,0,0,0
291393,sphere,spherical,2.000000,0.115028,0,0,0
290219,sphere,spherical,2.000000,0.920227,72,72,0
291330,sphere,spherical,2.000000,0.460113,0,0,0
291315,sphere,spherical,2.000000,0.230057,0,0,0
291328,sphere,spherical,2.000000,0.230057,107,107,0
291329,sphere,spherical,2.000000,0.230057,0,0,0
290870,sphere,spherical,2.000000,0.460113,93,93,0
290871,sphere,spherical,2.000000,0.460113,0,0,0
291154,sphere,spherical,2.000000,0.460113,0,0,0
291020,sphere,spherical,2.000000,0.230057,0,0,0
291153,sphere,spherical,2.000000,0.230057,0,0,0
291124,sphere,spherical,2.000000,0.115028,0,0,0
291134,sphere,spherical,2.000000,0.115028,112,112,0
291151,sphere,spherical,2.000000,0.115028,0,0,0
291152,sphere,spherical,2.000000,0.115028,0,0,0
291144,sphere,spherical,2.000000,0.057514,35,35,0
291145,sphere,spherical,2.000000,0.057514,30,30,0
291148,sphere,spherical,2.000000,0.057514,0,0,0
291149,sphere,spherical,2.000000,0.057514,0,0,0
291135,sphere,spherical,2.000000,0.057514,9,34,0
291138,sphere,spherical,2.000000,0.057514,0,0,0
291021,sphere,spherical,2.000000,0.115028,0,0,0
291022,sphere,spherical,2.000000,0.115028,0,0,0
291031,sphere,spherical,2.000000,0.057514,9,42,0
291032,sphere,spherical,2.000000,0.057514,8,58,0
291033,sphere,spherical,2.000000,0.057514,2,4,0
291034,sphere,spherical,2.000000,0.057514,1,1,0
291036,sphere,spherical,2.000000,0.057514,5,5,0
291037,sphere,spherical,2.000000,0.057514,71,71,0
291023,sphere,spherical,2.000000,0.057514,0,2,0
291025,sphere,spherical,2.000000,0.057514,3,3,0
291026,sphere,spherical,2.000000,0.057514,1,1,0
291027,sphere,spherical,2.000000,0.057514,8,38,0
291028,sphere,spherical,2.000000,0.057514,46,46,0
291030,sphere,spherical,2.000000,0.057514,17,48,0
290872,sphere,spherical,2.000000,0.230057,0,0,0
290945,sphere,spherical,2.000000,0.230057,0,0,0
291019,sphere,spherical,2.000000,0.230057,0,0,0
290984,sphere,spherical,2.000000,0.115028,0,0,0
291017,sphere,spherical,2.000000,0.115028,1,1,0
291018,sphere,spherical,2.000000,0.115028,0,0,0
291010,sphere,spherical,2.000000,0.057514,6,58,0
291015,sphere,spherical,2.000000,0.057514,3,7,0
291001,sphere,spherical,2.000000,0.057514,11,57,0
291002,sphere,spherical,2.000000,0.057514,59,59,0
291003,sphere,spherical,2.000000,0.057514,4,4,0
291004,sphere,spherical,2.000000,0.057514,0,20,0
290986,sphere,spherical,2.000000,0.057514,17,17,0
290987,sphere,spherical,2.000000,0.057514,2,13,0
290988,sphere,spherical,2.000000,0.057514,10,10,0
290989,sphere,spherical,2.000000,0.057514,66,66,0
290990,sphere,spherical,2.000000,0.057514,12,74,0
290991,sphere,spherical,2.000000,0.057514,66,66,0
290909,sphere,spherical,2.000000,0.115028,0,0,0
290910,sphere,spherical,2.000000,0.115028,0,0,0
290944,sphere,spherical,2.000000,0.115028,0,0,0
290927,sphere,spherical,2.000000,0.057514,77,77,0
290928,sphere,spherical,2.000000,0.057514,0,62,0
290929,sphere,spherical,2.000000,0.057514,0,6,0
290930,sphere,spherical,2.000000,0.057514,2,2,0
290932,sphere,spherical,2.000000,0.057514,3,3,0
290933,sphere,spherical,2.000000,0.057514,56,56,0
290923,sphere,spherical,2.000000,0.057514,0,7,0
290926,sphere,spherical,2.000000,0.057514,4,75,0
290911,sphere,spherical,2.000000,0.057514,0,8,0
290912,sphere,spherical,2.000000,0.057514,7,7,0
290914,sphere,spherical,2.000000,0.057514,1,1,0
290915,sphere,spherical,2.000000,0.057514,68,68,0
290917,sphere,spherical,2.000000,0.057514,60,60,0
290918,sphere,spherical,2.000000,0.057514,8,71,0
290907,sphere,spherical,2.000000,0.115028,1,1,0
290902,sphere,spherical,2.000000,0.057514,11,64,0
290903,sphere,spherical,2.000000,0.057514,0,9,0
290866,sphere,spherical,2.000000,0.230057,0,0,0
290864,sphere,spherical,2.000000,0.115028,0,0,0
290840,sphere,spherical,2.000000,0.057514,8,8,0
290841,sphere,spherical,2.000000,0.057514,52,52,0
290580,sphere,spherical,2.000000,0.460113,41,41,0
290581,sphere,spherical,2.000000,0.230057,0,20,0
290584,sphere,spherical,2.000000,0.230057,0,0,0
290694,sphere,spherical,2.000000,0.115028,0,0,0
290712,sphere,spherical,2.000000,0.115028,0,0,0
290713,sphere,spherical,2.000000,0.115028,9,9,0
290716,sphere,spherical,2.000000,0.057514,5,5,0
290719,sphere,spherical,2.000000,0.057514,46,46,0
290704,sphere,spherical,2.000000,0.057514,4,4,0
290705,sphere,spherical,2.000000,0.057514,48,48,0
290706,sphere,spherical,2.000000,0.057514,45,45,0
290707,sphere,spherical,2.000000,0.057514,3,3,0
290687,sphere,spherical,2.000000,0.057514,16,37,0
290688,sphere,spherical,2.000000,0.057514,14,41,0
290691,sphere,spherical,2.000000,0.057514,4,7,0
290692,sphere,spherical,2.000000,0.057514,0,5,0
290586,sphere,spherical,2.000000,0.115028,0,0,0
